Scale: Della Volpe
Method: Schultz
Parameter: Peak Max
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	51.0043731916846	1.8743246994722	36.6972639926207	16.587053783529	67.5914269752136
0.0075	92.4687156016883	0.894720065076266	2.47375023686587	2.97544213380873	95.444157735497
0.01	94.1986530097327	0.926207376697428	2.69302516325899	3.15867046197749	97.3573234717102
0.02	87.4882841996743	0.861658927159095	2.52814770274634	2.95188145917016	90.4401656588444
0.03	80.3775046315814	0.795533006078346	2.3640194971702	2.74273989799371	83.1202445295751
0.04	70.3802389034814	0.68746637131034	2.01172861676788	2.35201681306115	72.7322557165426
0.05	59.2239928352406	0.600683365701725	1.53175081600289	1.91843398173925	61.1424268169798
0.06	49.6924635171926	0.50240786683807	1.19722107410211	1.55111996437828	51.2435834815709
0.07	45.6725625071173	0.483339252178077	1.54211829358429	1.72669198502937	47.3992544921466
0.08	41.3411324191401	0.429198435388262	1.36045264798038	1.52827242065411	42.8694048397942
0.09	34.7110308910748	0.34513156464443	0.976843765665811	1.16127450201475	35.8723053930896
0.1	20.2180109461961	0.170926586298486	0.176428459016331	0.347311469580628	20.5653224157767
